states,x,y
Sokoto,-246,274
Kebbi,-315,189
Zamfara,-159,212
Kastina,-80,236
Kano,-11,197
Jigawa,59,222
Yobe,189,213
Borono,303,204
Niger,-206,52
Kaduna,-78,81
Bauchi,48,99
Gombe,166,84
Adamawa,226,36
Plateau,48,-4
Nasarawa,-83,-48
Abuja,-117,-21
Kwara,-279,-28
Oyo,-372,-61
Ogun,-373,-146
Lagos,-377,-178
Osun,-290,-114
Ondo,-248,-134
Ekiti,-238,-94
Kogi,-149,-100
Edo,-203,-176
Benue,-16,-121
Taraba,114,-79
Delta,-197,-248
Anambra,-124,-205
Enugu,-91.0,-175.0
Ebonyi,-55,-192
Cross River,-26,-229
Abia,-80,-235
Imo,-118,-237
Bayelsa,-203,-294
Rivers,-139,-279
Akwa Ibom,-64,-281

